rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,contract_count,person_count,program_count,expected_advancement_contract_count,expected_completion_contract_count,source_refresh_contract_count,manual_review_contract_count,carry_forward_contract_count,stale_by_refresh_count,fresh_observation_required_count,auto_classifiable_transition_count,dominant_next_refresh_contract,dominant_diff_readiness_status,guardrail_status,stale_information_policy,recommended_operator_action,evidence_json
training_temporal_contract_rollup_fe491ae33e38d5a89e56,program,Cytopathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Cytopathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_dcc65b2aeb7504f2eaf8,program,Diagnostic Radiology Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Diagnostic Radiology Residency,US_GME_RESIDENCY_5Y,2027-08-15,54,54,1,0,0,54,0,0,54,54,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 54}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 54}}"
training_temporal_contract_rollup_e3bfbdc79a8cb3026b0f,program,"Endocrinology, Diabetes and Metabolism Fellowship",University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,"Endocrinology, Diabetes and Metabolism Fellowship",none,2027-08-15,21,21,1,4,4,0,0,13,8,8,8,retain_until_fresh_source_contradiction,diff_no_change_expected,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 8, ""diff_no_change_expected"": 13}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 4, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 4, ""retain_until_fresh_source_contradiction"": 13}}"
training_temporal_contract_rollup_7c565acac62771b43b92,program,Facial Plastic and Reconstructive Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Facial Plastic and Reconstructive Surgery Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,1,1,1,0,0,1,0,0,1,1,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 1}}"
training_temporal_contract_rollup_30050620c74d033871f5,program,Family Medicine Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Family Medicine Residency,US_GME_RESIDENCY_3Y,2027-08-15,35,35,1,23,12,0,0,0,35,35,35,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 35}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 23, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 12}}"
training_temporal_contract_rollup_fc9759a2de0f75924d52,program,Foot and Ankle Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Foot and Ankle Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_3f1c7db1d24831157b35,program,GI/Hepatic Pathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,GI/Hepatic Pathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_644158192a810249305a,program,Gastroenterology and Hepatology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Gastroenterology and Hepatology Fellowship,US_GME_FELLOWSHIP_3Y,2027-08-15,23,23,1,16,7,0,0,0,23,23,23,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 23}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 16, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 7}}"
training_temporal_contract_rollup_807dffa9a03e6af6b36e,program,General Surgery Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,General Surgery Residency,US_GME_RESIDENCY_5Y,2027-08-15,75,75,1,36,13,26,0,0,75,75,49,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 49, ""diff_source_refresh_bound"": 26}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 36, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 13, ""retain_only_if_fresh_source_reobserves"": 26}}"
training_temporal_contract_rollup_0056fc9ef5318373ae3b,program,Geriatric Medicine Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Geriatric Medicine Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,3,3,1,0,0,2,1,0,3,3,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_review_bound"": 1, ""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""do_not_mutate_without_review"": 1, ""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_cd1f2548c211653bafef,program,Gynecologic Oncology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Gynecologic Oncology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,6,6,1,0,0,6,0,0,6,6,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 6}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 6}}"
training_temporal_contract_rollup_8475169f80288e681201,program,Hand Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hand Surgery Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_84d89e0839b111f0ec16,program,"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,"Head and Neck Surgical Oncology, Microvascular Reconstruction, and Robotic Surgery Fellowship",US_GME_FELLOWSHIP_1Y,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_067f7704ae9f3a18967c,program,Hematology/Oncology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hematology/Oncology Fellowship,US_GME_FELLOWSHIP_3Y,2027-08-15,32,32,1,18,9,5,0,0,32,32,27,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 27, ""diff_source_refresh_bound"": 5}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 18, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 9, ""retain_only_if_fresh_source_reobserves"": 5}}"
training_temporal_contract_rollup_79038f64fd3fa38a3ab7,program,Hematopathology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Hematopathology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,4,4,1,0,0,4,0,0,4,4,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 4}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 4}}"
