program_name,role,lifecycle_code,temporal_policy_lane,change_type,count
Plastic Surgery Residency,resident,US_GME_RESIDENCY_6Y,deterministic_expected_advancement,unchanged,17
Plastic Surgery Residency,resident,US_GME_RESIDENCY_6Y,deterministic_expected_completion,unchanged,3
Plastic Surgery Residency,resident,US_GME_RESIDENCY_6Y,source_refresh_required,unchanged,2
Podiatric Surgery Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,12
Podiatric Surgery Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_completion,unchanged,4
Psychiatry Residency,resident,US_GME_RESIDENCY_DURATION_UNKNOWN,manual_review_required,added,52
Pulmonary and Critical Care Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_advancement,unchanged,16
Pulmonary and Critical Care Fellowship,fellow,US_GME_FELLOWSHIP_3Y,deterministic_expected_completion,unchanged,9
Pulmonary and Critical Care Fellowship,fellow,US_GME_FELLOWSHIP_3Y,manual_review_required,unchanged,6
Pulmonary and Critical Care Fellowship,fellow,US_GME_FELLOWSHIP_3Y,source_refresh_required,unchanged,3
Radiation Oncology Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,17
Reproductive Endocrinology and Infertility Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,2
Reproductive Endocrinology and Infertility Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,2
Reproductive Endocrinology and Infertility Fellowship,fellow,US_GME_FELLOWSHIP_2Y,manual_review_required,unchanged,2
Rheumatology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,5
Rheumatology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,5
Rheumatology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,manual_review_required,unchanged,1
Rheumatology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,source_refresh_required,unchanged,4
Rhinology and Skull Base Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Shoulder and Elbow Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Sleep Medicine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,7
Sleep Medicine and Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Soft Tissue/Bone Pathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,1
Spine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Sports Medicine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Surgical Pathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,6
Thoracic Surgery - Thoracic Track Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,1
Thoracic Surgery Fellowship - Cardiac Track,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,4
Transfusion Medicine/Blood Bank Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,1
Transplant Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,3
Trauma and Surgical Critical Care Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,12
Urogynecology and Reconstructive Pelvic Surgery Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,4
Urology Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,17
Urology Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_completion,unchanged,4
Urology Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,1
Vascular Surgery Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,4
Vascular Surgery Integrated Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,8
Vascular Surgery Integrated Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_completion,unchanged,1
