organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_medical-school-ain-shams-university-school-medic_4c9e969284fa,"Ain Shams University, School of Medicine",ain shams university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-albert-einstein-college-medicine_9a36ebb6c402,Albert Einstein College of Medicine,albert einstein college medicine,medical_school,,cleaned_label,0.55
org_medical-school-american-university-beirut_8b69f66ec007,American University of Beirut,american university beirut,medical_school,,cleaned_label,0.55
org_medical-school-american-university-beirut-lebano_67b3c6a99fc3,American University of Beirut - Lebanon,american university beirut lebanon,medical_school,,cleaned_label,0.55
org_medical-school-american-university-beirut-facult_a6ca5cf267df,American University of Beirut Faculty of Medicine,american university beirut faculty medicine,medical_school,,cleaned_label,0.55
org_medical-school-anne-burnett-mario-school-medicin_2067789f899e,Anne Burnett Mario School of Medicine at TCU,anne burnett mario school medicine tcu,medical_school,,cleaned_label,0.55
org_medical-school-arkansas-college-osteopathic-medi_7caa0151f509,Arkansas College of Osteopathic Medicine,arkansas college osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-baylor-college-medicine_10f21f6393a2,Baylor College of Medicine,baylor college medicine,medical_school,,cleaned_label,0.55
org_medical-school-boston-university-school-medicine_265324a41bad,Boston University School of Medicine,boston university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-brown-university_32e785dac87a,Brown University,brown university,medical_school,,cleaned_label,0.55
org_medical-school-case-western-reserve-university_7c102c37db2f,Case Western Reserve University,case western reserve university,medical_school,,cleaned_label,0.55
org_medical-school-case-western-reserve-university-s_06616524b873,Case Western Reserve University SOM,case western reserve university som,medical_school,,cleaned_label,0.55
org_medical-school-case-western-reserve-university-s_7c819f298fc8,Case Western Reserve University School of Medicine,case western reserve university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-chicago-medical-school_425665086c05,Chicago Medical School,chicago medical school,medical_school,,cleaned_label,0.55
org_medical-school-city-university-new-york-school-m_f54031ec0b47,City University of New York School of Medicine,city university new york school medicine,medical_school,,cleaned_label,0.55
org_medical-school-cleveland-clinic-lerner-college-m_9bd6eabe921f,Cleveland Clinic Lerner College of Medicine,cleveland clinic lerner college medicine,medical_school,,cleaned_label,0.55
