career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_url,confidence,status
53,,,penn_alumni_outcome_candidate,,,,Internal Medicine Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/application-information/internal-medicine-graduates,0.45,candidate
54,,,penn_alumni_outcome_candidate,,,,Internal Medicine Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/application-information/internal-medicine-graduates,0.45,candidate
55,,,penn_alumni_outcome_candidate,,,,Alumni - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/residency-program/alumni,0.45,candidate
57,,,penn_alumni_outcome_candidate,,,,About our Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,0.45,candidate
58,,,penn_alumni_outcome_candidate,,,,About our Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,0.45,candidate
59,,,penn_alumni_outcome_candidate,,,,About our Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,0.45,candidate
60,,,penn_alumni_outcome_candidate,,,,About our Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,0.45,candidate
61,,,penn_alumni_outcome_candidate,,,,About our Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/about-our-graduates,0.45,candidate
62,,,penn_alumni_outcome_candidate,,,,"Myron Yanoff, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/myron-yanoff,0.45,candidate
63,,,penn_alumni_outcome_candidate,,,,"Myron Yanoff, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/myron-yanoff,0.45,candidate
64,,,penn_alumni_outcome_candidate,,,,"Jennifer E. Thorne, MD, PhD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jennifer-thorne,0.45,candidate
65,,,penn_alumni_outcome_candidate,,,,"Jennifer E. Thorne, MD, PhD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jennifer-thorne,0.45,candidate
66,,,penn_alumni_outcome_candidate,,,,"Jonathan Prenner, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/jonathan-prenner,0.45,candidate
67,,,penn_alumni_outcome_candidate,,,,"Raymond Douglas, MD, PhD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/raymond-douglas,0.45,candidate
68,,,penn_alumni_outcome_candidate,,,,"Raymond Douglas, MD, PhD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/raymond-douglas,0.45,candidate
69,,,penn_alumni_outcome_candidate,,,,"Sepideh Tara Rousta, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/sepideh-tara-rousta,0.45,candidate
70,,,penn_alumni_outcome_candidate,,,,"Sepideh Tara Rousta, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/sepideh-tara-rousta,0.45,candidate
71,,,penn_alumni_outcome_candidate,,,,"Steve Rubin, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/steve-rubin,0.45,candidate
72,,,penn_alumni_outcome_candidate,,,,"William Trattler, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/william-trattler,0.45,candidate
73,,,penn_alumni_outcome_candidate,,,,"William Trattler, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/william-trattler,0.45,candidate
76,,,penn_alumni_outcome_candidate,,,,"Robert Weisenthal, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,0.45,candidate
77,,,penn_alumni_outcome_candidate,,,,"Robert Weisenthal, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,0.45,candidate
78,,,penn_alumni_outcome_candidate,,,,"Robert Weisenthal, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,0.45,candidate
79,,,penn_alumni_outcome_candidate,,,,"Robert Weisenthal, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/robert-weisenthal,0.45,candidate
80,,,penn_alumni_outcome_candidate,,,,"Marvin Greenbaum, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/marvin-greenbaum,0.45,candidate
81,,,penn_alumni_outcome_candidate,,,,"Marvin Greenbaum, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/marvin-greenbaum,0.45,candidate
82,,,penn_alumni_outcome_candidate,,,,"Richard Prince, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/richard-prince,0.45,candidate
52,,,penn_alumni_outcome_candidate,,,,Graduate Studies | University of Pennsylvania | Pathology and Laboratory Medicine,,https://pathology.med.upenn.edu/education/graduate-studies,0.25,candidate
56,,,penn_alumni_outcome_candidate,,,,Alumni - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/oem-residency-program/alumni,0.25,candidate
74,,,penn_alumni_outcome_candidate,,,,"Daniel Gombos, MD - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/daniel-gombos,0.25,candidate
75,,,penn_alumni_outcome_candidate,,,,"Donald Budenz, MD, MPH - Penn Medicine",,https://www3.pennmedicine.org/departments-and-centers/ophthalmology/about-us/news/department-news/alumni-spotlights/donald-budenz,0.25,candidate
83,,,penn_alumni_outcome_candidate,,,,Alumni - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/residency-program/alumni,0.25,candidate
84,,,penn_alumni_outcome_candidate,,,,Primary Care Program Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/primary-care-program/graduates,0.25,candidate
85,,,penn_alumni_outcome_candidate,,,,Graduates - Penn Medicine,,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/global-health/graduates,0.25,candidate
