career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_key,source_url,confidence,status,match_features_json
39,,"Kathryn A. McGrath, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
32,,"Laura Dingfield, MD, MSEd",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
37,,"Lindsay Haines, MD, MSHP",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
40,,"Matthew Mendlik, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
18,,"Maureen R. Hewitt, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
5,,"Michael Costello, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
41,,"Miguel A Paniagua, MD, FACP, FAAHPM",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
15,,"Nevena Damjanov, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
34,,"Nicholas Woods Freedman, DO",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
29,,"Niharika Ganta, MD, MPH",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
23,,"Olajumoke O. Fadugba, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
38,,"Pallavi Kumar, MD, MPH",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
25,,"Patrick Kevin Gleeson, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
26,,"Pavle S. Milutinovic, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
8,,"Peter S. Klein, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
6,,"Priya P. Gor, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
28,,"Priya Patel, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
49,,Rachael Lutgen,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
11,,"Rebecca L. Hirsh, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
