manual_decision_row_key,decision_scaffold_key,review_batch_key,review_queue_lane,program_key,program_name,candidate_fingerprint_sha256,candidate_source_kind,decision_fingerprint,reviewer_action,reviewer_note,confirm_decision_fingerprint,confirm_no_person_ingestion,confirm_no_denominator_closure,confirm_no_raw_name_added,confirm_no_url_rewrite,confirm_candidate_fingerprint_only,confirm_scope_metadata_only,confirm_recourse_only
vanderbilt_candidate_manual_decision_a3b22e9cf9c2060e6ac0,vanderbilt_candidate_review_decision_f22e8714038ff3137c79,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,255b324fd808e6fafcdafc8c48b0e6f96a6fec495f3d8722f5f2a41e8188ee31,profile_anchor,eda30a7697973832930d622278b565d02f82da33fe81a46f8e59011bf511ce28,,,,,,,,,,
vanderbilt_candidate_manual_decision_a72b614cf1c2f3ef7440,vanderbilt_candidate_review_decision_c6404c986f126de1ef06,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,9316c19a222c62e31ea1fffec482a536b8412ad8504693a4c7be174365ff7d1b,heading_signal,162bcf70f4542444408f3a4f14d57e1b38da5bfa7ab5eea92dbf4495113c2ac3,,,,,,,,,,
vanderbilt_candidate_manual_decision_b794902e2d3e6d7fef6f,vanderbilt_candidate_review_decision_5be5326567cea45c913e,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,1394cbb2748afda870f7c82b82b0f1945018ac09f252e4da5a5151859fcf3d25,heading_signal,87451ab7b6e05358e9a43194b8523bb2a60ae37f7f12aae78e0e7d8850428da1,,,,,,,,,,
vanderbilt_candidate_manual_decision_bb848b009ce6e7087c9d,vanderbilt_candidate_review_decision_eb3c5be04320ccfb2a9d,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,5a117c7a7ecc4923c7a72625c2ea7ba50f7bcb825233306a1fde06cf6e82f444,profile_anchor,8fcd80685895a1aa157dcb3d07e20cca85e8ddf7e306452c33f626c2ddbfdd2a,,,,,,,,,,
vanderbilt_candidate_manual_decision_c559e9b2e38014268c75,vanderbilt_candidate_review_decision_7ab66830e8a661628c1f,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,9bc849c47c652b23b2afd7d2e6ab208933670e6071960b07397652aaab227e14,heading_signal,dfdc7db1453d791a3d5d3771d45e297f31d22fcd6da2b910bb84aaa230a80a37,,,,,,,,,,
vanderbilt_candidate_manual_decision_c8d1412b9a31fcc1f723,vanderbilt_candidate_review_decision_d401b957a3e3e72a2bea,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,317e7aef29791dd8f637c6bd9425aec34413f2e26405cb7c3d3aa2ea932c084b,profile_anchor,42ada6a1b427eb5c19242ba8eb2fc919c70ed2f07cd6a5012cc7bcb4a861f44b,,,,,,,,,,
vanderbilt_candidate_manual_decision_f0ad43b977a28be192d2,vanderbilt_candidate_review_decision_fc8a4c3c7ccf5d7ae0d1,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,a35c0796a899da9cda8196cfceaf5050cc74797bd038c9cebdd71ac8ca9b60bd,profile_anchor,576e6b7ef0f9c9e99be52ba88e0a598e01444c3202f38d06659251ef4bc88abc,,,,,,,,,,
vanderbilt_candidate_manual_decision_f9963a5ae4a8c10e3688,vanderbilt_candidate_review_decision_cbb03dc2f1e4c4f94e27,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,25349c0268afd6f616b20d586fed6e9226e77b4827d986a220eec088bd70d46b,profile_anchor,00c5afbdba6b61c307705e0893e4a5570aba22274b0ee5957bbb106e9e062703,,,,,,,,,,
vanderbilt_candidate_manual_decision_044a9c6190f11cf535f6,vanderbilt_candidate_review_decision_3c54b7da03b2d0efd22a,vanderbilt_candidate_review_batch_8e45dd6d0a4aba28d7fc,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,dba54300499e20a9998906e3acade24bfe9a5beba8dd7a1cfcfb0ce94680eb87,heading_signal,7c4b08053505fe89f3113072a6f83623380a6bf1ea4d619972afc73449f08b7c,,,,,,,,,,
vanderbilt_candidate_manual_decision_08e9e929c74db144c690,vanderbilt_candidate_review_decision_2af8f392411381102aec,vanderbilt_candidate_review_batch_8e45dd6d0a4aba28d7fc,candidate_fingerprint_review,vanderbilt_program_fellowship-pediatric-critical-care-https-pediatrics-vumc-org_54cc9ebcdb58,Pediatric Critical Care,53ef15ee6a8956f6e46ab662dd8ac020986987bcbf71139a0510f0336caf2fc0,profile_anchor,bb783fe5fdf42f92de3d4cf3c5af7d7d8fd6363938bb813baee2495e93cb805e,,,,,,,,,,
