candidate_key,official_program_key,department,program_type,program_name,coverage_status,source_role,candidate_status,priority,confidence,candidate_title,candidate_url,http_status,roster_term_count,context_term_count,reasons,error
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_d959898c0f9e,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,roster_source_candidate,120,0.6,Student Fellows,https://pathology.med.upenn.edu/department/people/students-fellows,,0,0,linked_from_gap_page;roster_language;program_context_language,
program_source_candidate_hup-gme-residency-dermatology-cabc25fcd11c-https_7a4a1357eda2,hup_gme_residency_dermatology_cabc25fcd11c,Dermatology,residency,Dermatology,discovered_no_current_roster,linked_candidate,roster_source_candidate,115,0.55,Penn Medicine Dermatology site,https://dermatology.upenn.edu/residents/combined-medicine-and-dermatology-track,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-dermatology-cabc25fcd11c-https_303cc337ad9f,hup_gme_residency_dermatology_cabc25fcd11c,Dermatology,residency,Dermatology,discovered_no_current_roster,linked_candidate,roster_source_candidate,115,0.55,Chief Residents,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/leadership/chief-residents,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-residency-dermatology-cabc25fcd11c-https_632118bbabb9,hup_gme_residency_dermatology_cabc25fcd11c,Dermatology,residency,Dermatology,discovered_no_current_roster,linked_candidate,roster_source_candidate,115,0.55,Medicine-Dermatology Residents,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program/medicine-dermatology-residents,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-transplant-hepatology-f4d7a20_a299f1c0fbd0,hup_gme_fellowship_transplant-hepatology_f4d7a209f96e,Internal Medicine,fellowship,Transplant Hepatology,discovered_no_current_roster,linked_candidate,roster_source_candidate,115,0.55,Advanced Gastroenterology and Hepatology Fellows,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/gastroenterology/education-and-training/fellowship-programs/advanced-gastroenterology-fellows,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_fe9eafacdde6,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,roster_source_candidate,115,0.55,Current,https://pathology.med.upenn.edu/education/residency/residents/current,,0,0,linked_from_gap_page;roster_language,
program_source_candidate_hup-gme-fellowship-neurocritical-care-19de282b31_0dab09c370ab,hup_gme_fellowship_neurocritical-care_19de282b318f,Neurology,fellowship,Neurocritical Care,not_discovered,official_program_url,roster_source_candidate,90,0.45,Neurocritical Care | Penn Neurology Fellowship Programs,https://neurofellowships.uphs.upenn.edu/p/neurocritical-care_17.html,200,1,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-residency-neurology-7c1f5f7cae7a-https-n_92abca831bb5,hup_gme_residency_neurology_7c1f5f7cae7a,Neurology,residency,Neurology,not_discovered,official_program_url,roster_source_candidate,90,0.45,Penn Neurology Residency Program,https://neuroresidency.uphs.upenn.edu/,200,1,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-fellowship-gynecologic-oncology-59b3af56_68edaa2e2d9f,hup_gme_fellowship_gynecologic-oncology_59b3af566d85,Obstetrics and Gynecology,fellowship,Gynecologic Oncology,not_discovered,official_program_url,roster_source_candidate,90,0.45,Gynecologic Oncology - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/gynecologic-oncology,200,2,2,official_program_url;page_roster_terms,
program_source_candidate_hup-gme-fellowship-maternal-fetal-medicine-fa13c_0a591ab39a09,hup_gme_fellowship_maternal-fetal-medicine_fa13cced70c8,Obstetrics and Gynecology,fellowship,Maternal Fetal Medicine,not_discovered,official_program_url,roster_source_candidate,90,0.45,Maternal Fetal Medicine - Penn Medicine,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine,200,1,2,official_program_url;page_roster_terms,
